"","AL0D_1_GLbulkRNAseq_sub","AL0D_2_GLbulkRNAseq_sub","AL0D_3_GLbulkRNAseq_sub","AL0D_4_GLbulkRNAseq_sub","AL0D_5_GLbulkRNAseq_sub","AL0R_1_GLbulkRNAseq_sub","AL0R_2_GLbulkRNAseq_sub","AL0R_3_GLbulkRNAseq_sub","AL0R_4_GLbulkRNAseq_sub","AL0R_5_GLbulkRNAseq_sub","AL40D_1_GLbulkRNAseq_sub","AL40D_2_GLbulkRNAseq_sub","AL40D_3_GLbulkRNAseq_sub","AL40D_4_GLbulkRNAseq_sub","AL40D_5_GLbulkRNAseq_sub","AL40R_1_GLbulkRNAseq_sub","AL40R_2_GLbulkRNAseq_sub","AL40R_3_GLbulkRNAseq_sub","AL40R_4_GLbulkRNAseq_sub","W0D_1_GLbulkRNAseq_sub","W0D_2_GLbulkRNAseq_sub","W0D_3_GLbulkRNAseq_sub","W0D_4_GLbulkRNAseq_sub","W0D_5_GLbulkRNAseq_sub","W0R_1_GLbulkRNAseq_sub","W0R_2_GLbulkRNAseq_sub","W0R_3_GLbulkRNAseq_sub","W0R_4_GLbulkRNAseq_sub","W0R_5_GLbulkRNAseq_sub","W40D_1_GLbulkRNAseq_sub","W40D_2_GLbulkRNAseq_sub","W40D_3_GLbulkRNAseq_sub","W40D_4_GLbulkRNAseq_sub","W40D_5_GLbulkRNAseq_sub","W40R_1_GLbulkRNAseq_sub","W40R_2_GLbulkRNAseq_sub","W40R_3_GLbulkRNAseq_sub","W40R_4_GLbulkRNAseq_sub","W40R_5_GLbulkRNAseq_sub"
"Bra000049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000052",0,50.84,55.51,30.91,108.1,0,0,84.95,57.34,349.72,27.5,38.71,0,0,18.63,0,0,52.29,35.89,0,0,0,20.14,69.15,0,0,0,11.52,184.89,36.71,44.33,0,0,0,19.41,54.13,11.63,0,56.95
"Bra000053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,6.48,0,0,0,0,0,4.51
"Bra000054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000055",0,7.88,0,0,0,0,0,0,3.04,0,0,0,6.11,0,11.78,3.43,0,0,5.66,3.41,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,6.06,0,0,0,0
"Bra000056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,5.54,0,0,0,0,0,7.67,0,0,0,0,0,0,0,0,0,0,1.81
"Bra000058",26.68,0,0,0,21.08,0,33.45,10.32,9.49,0,13.66,18.87,9.64,0,18.44,5.41,28.12,6.59,53.19,31.76,18.77,0,48.95,0,12.8,9.45,11.17,0,7.34,17.61,47.38,25.57,19.52,11.89,28.54,39.79,16.94,0,87.16
"Bra000059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000060",9.29,0,4.82,0,0,0,0,0,3.29,8.81,9.46,0,13.25,0,0,0,0,9.16,0,3.69,0,5.7,0,7.68,4.39,0,0,3.95,5.02,6.04,5.93,0,8.07,8.19,3.28,0,0,0,3.73
"Bra000061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000062",6.45,0,3.33,13.92,5,0,0,0,2.27,0,0,0,4.56,0,4.41,0,6.62,3.18,0,10.25,0,0,0,0,3.02,0,10.65,2.73,0,4.14,2.04,0,3.71,0,0,6.31,2.67,3.23,12.8
"Bra000063",0,0,0,0,41.47,0,0,0,17.83,0,0,37.36,0,0,0,21.86,0,0,0,0,0,0,0,0,0,0,0,0,0,36.26,17.24,0,0,0,0,0,0,0,0
"Bra000064",9.36,51.63,19.41,10.22,7.31,0,11.68,7.16,6.62,0,14.3,6.55,6.67,17.56,25.71,7.5,0,4.62,24.7,3.72,6.56,5.74,6.79,7.74,26.54,13.11,23.32,19.88,5.06,18.24,68.68,0,13.55,8.25,29.75,18.44,11.74,47.31,9.4
"Bra000065",0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,21.75,0,0,0,0,0,0,0,7.03
"Bra000066",0,0,0,0,0,0,6.53,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0
"Bra000067",0,12.14,13.59,14.48,10.32,0,0,0,4.65,0,0,9.23,0,0,0,0,0,0,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0,3.82,0,0,6.49,11.05,0,0
"Bra000068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000069",12.56,0,13.06,13.89,0,34.23,0,29.09,13.39,0,12.85,17.72,18.1,11.91,26.01,0,0,12.4,0,14.95,17.66,0,9.2,20.98,6.01,17.76,31.49,16.09,13.77,8.26,8.09,24.04,7.33,11.17,17.88,6.23,5.3,19.26,12.78
"Bra000070",0,0,13.64,0,0,0,0,0,0,0,0,0,9.46,0,9.06,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,8.65,4.23,0,7.67,0,0,13.03,0,0,0
"Bra000071",0,0,4.25,0,0,0,0,6.25,0,0,0,5.72,0,0,11.25,0,0,0,0,3.26,0,5.02,5.93,0,0,0,0,0,0,0,7.83,0,4.74,0,0,0,3.42,12.39,3.28
"Bra000072",0,0,0,0,0,0,0,19.78,8.93,0,0,0,0,0,0,0,0,12.23,0,0,0,0,0,0,0,0,63.51,0,14.31,0,0,0,0,22.73,0,0,0,13.19,0
"Bra000073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36,0,0,0,0,12.34,0,0,0,0,0,0,11.2,0,6.51,0,0,0,0,0,8.53,0,0
"Bra000075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000077",0,0,8,0,0,0,0,11.96,0,0,0,10.92,0,0,0,6.27,0,0,0,6.09,0,0,0,0,7.42,0,0,0,8.53,0,4.99,0,0,0,5.5,0,13.08,0,0
"Bra000078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000079",0,0,15.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,25.1,0,0,0,3.98,16.82,0,0,0,0,0,0,0,0,0,9.31
"Bra000080",0,0,0,0,0,0,0,0,0,0,0,0,43.7,0,0,0,0,0,19.63,10.25,0,0,22.1,0,0,0,0,8.58,0,20.19,0,0,26.3,0,0,0,0,15.58,9.42
"Bra000081",0,0,3.58,14.95,5.37,12.29,0,10.5,2.44,0,7.02,9.6,4.89,0,0,0,0,3.41,4.54,2.75,0,8.44,0,5.67,0,0,0,0,0,17.79,8.76,13.11,9.94,0,7.28,10.15,5.74,0,4.12
"Bra000082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000084",0,0,19.02,0,9.61,11.07,7.64,0,4.33,0,0,0,0,0,8.42,0,0,12.04,0,4.84,0,7.52,0,0,0,8.62,0,10.41,0,0,3.93,0,7.12,0,0,0,0,0,7.44
"Bra000085",0,0,0,0,0,0,0,0,0,0,7.92,0,0,29.56,0,0,0,0,0,0,0,0,11.39,0,0,0,0,0,0,0,0,29.66,9.07,0,0,7.7,0,15.93,0
"Bra000086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000087",0,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,3.33
