,AL0D_1_GLbulkRNAseq_sub,AL0D_2_GLbulkRNAseq_sub,AL0D_3_GLbulkRNAseq_sub,AL0D_5_GLbulkRNAseq_sub,AL0R_1_GLbulkRNAseq_sub,AL0R_2_GLbulkRNAseq_sub,AL0R_3_GLbulkRNAseq_sub,AL0R_4_GLbulkRNAseq_sub,AL40D_1_GLbulkRNAseq_sub,AL40D_2_GLbulkRNAseq_sub,AL40D_3_GLbulkRNAseq_sub,AL40D_5_GLbulkRNAseq_sub,AL40R_1_GLbulkRNAseq_sub,AL40R_2_GLbulkRNAseq_sub,AL40R_3_GLbulkRNAseq_sub,AL40R_4_GLbulkRNAseq_sub,W0D_1_GLbulkRNAseq_sub,W0D_2_GLbulkRNAseq_sub,W0D_3_GLbulkRNAseq_sub,W0D_4_GLbulkRNAseq_sub,W0R_1_GLbulkRNAseq_sub,W0R_2_GLbulkRNAseq_sub,W0R_3_GLbulkRNAseq_sub,W0R_5_GLbulkRNAseq_sub,W40D_1_GLbulkRNAseq_sub,W40D_2_GLbulkRNAseq_sub,W40D_4_GLbulkRNAseq_sub,W40D_5_GLbulkRNAseq_sub,W40R_2_GLbulkRNAseq_sub,W40R_4_GLbulkRNAseq_sub,W40R_5_GLbulkRNAseq_sub
Bra029900,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1
Bra029901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029902,5,1,6,3,3,2,4,8,9,0,2,1,4,5,4,3,9,2,0,3,5,3,2,6,1,8,23,4,7,5,17
Bra029903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bra029904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1
Bra029905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029906,3,5,10,4,2,3,2,3,4,6,8,9,3,1,4,1,14,5,2,3,5,1,4,1,10,14,30,6,3,6,14
Bra029907,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bra029908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0
Bra029910,1,1,4,1,1,3,4,1,3,0,2,1,4,0,0,1,3,1,0,0,2,2,4,3,1,8,13,1,2,3,12
Bra029911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029912,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1
Bra029913,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,1
Bra029914,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,2,0,1,0,1
Bra029915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029917,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,3,3,1,0,1,1
Bra029918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029919,0,1,3,2,0,1,4,1,6,0,0,0,2,0,1,1,3,0,0,1,1,2,0,3,0,5,4,2,5,3,4
Bra029920,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,1
Bra029921,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Bra029922,6,12,28,6,1,7,6,29,19,11,5,19,3,2,4,11,18,8,5,10,2,5,2,12,29,50,52,1,8.43,10,27
Bra029923,1,0,0,1,1,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,2,0,0,0,4
Bra029924,0,2,1,7,2,3,0,2,3,1,5,5,2,0,1,5,6,1,5,1,3,2,6,3,4,7,1,11,6,3,4
Bra029925,4,14,12,10,10,14,9,25,18,11,8,4,9,11,3,9,9,17,22,6,20,23,15,16,8,14,19,9,12,17,35
Bra029926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029928,0,4,4,1,0,2,5,7,5,2,2,2,9,2,3,1,3,1,0,4,1,1,0,5,6,8,9,1,5,4,24
Bra029929,0,0,0,1,0,0,3,3,0,0,0,1,1,0,1,1,1,2,0,0,1,1,0,0,0,1,3,0,2,0,5
Bra029930,0,0,2,0,2,2,0,1,0,1,2,5,3,1,2,0,4,1,2,3,1,1,1,0,0,5,8,2,1,1,4
Bra029931,3,2,3,3,4,4,3,11,3,3,2,0,5,0,3,8,6,5,3,5,2,1,2,6,14,9,8,0,12,6,29
Bra029932,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0
Bra029933,1,2,21,6,4,0,1,5,13,9,11,12,10,2,4,6,30,4,4,2,5,1,2,0,12,56,53,7,5,9,13
Bra029934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029935,10,10,19,1,18,33,7,3,39,32,58,18,8,30,9,8,22,34,35,11,7,26,14,1,14,18,14,7,14,8,2
Bra029936,2,1,2,0,4,12,1,3,6,6,6,6,0,7,3,2,2,6,7,1,1,6,1,0,1,3,4,0,1,0,1
Bra029937,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,2,0,3
Bra029938,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029939,3,1,3,1,0,2,1,5,1,2,2,5,0,1,3,0,0,0,1,2,1,0,0,0,2,13,3,1,2,2,7
Bra029940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029943,0,1,3,3,2,1,2,2,1,0,2,0,0,0,0,1,1,1,0,3,0,2,0,0,0,1,1,0,3,0,3
Bra029944,0,0,2,0,0,1,1,0,0,4,1,1,3,0,2,3,0,0,2,1,3,1,1,0,2,3,8,1,0,2,15
Bra029945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029946,24,10,26,2,12,48,7,5,35,26,20,21,29,36,22,7,31,44,25,17,30,30,18,2,5,25,7,49,20,5,1
Bra029947,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,2,2,3,0,0,0,3
Bra029948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029950,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bra029951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029953,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,3
Bra029954,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
Bra029955,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,1,1,0,1,2,0,1,3,0,2,1,1,0,0,1,1
Bra029956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bra029957,2,0,2,0,2,0,4,3,6,2,0,6,1,0,0,2,6,2,2,3,0,0,2,1,3,9,8,0,1,0,2
Bra029958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bra029959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029960,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Bra029961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029964,0,0,0,2,1,2,5,1,6,1,5,1,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0
Bra029965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029966,0,0,0,0,0,1,2,0,1,2,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,4,4,1,0,0,4
Bra029967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Bra029968,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,3
Bra029969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029971,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Bra029972,9,7,30,22,9,10,12,32,15,28,33,20,17,7,10,13,3,6,4,18,15,21,13,45,27,15,8,4,25,13,8
Bra029973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029974,5,1,4,0,2,1,5,2,4,2,3,1,3,1,3,0,4,5,4,0,2,2,0,2,1,3,6,0,2,3,6
Bra029975,0,0,1,0,2,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,2,1,2,0,2,1
Bra029976,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bra029977,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bra029978,2,0,0,2,1,1,5,3,3,0,0,1,0,0,0,0,1,2,0,0,0,0,0,4,2,1,1,1,1,0,2
Bra029979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029980,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2
Bra029981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029983,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bra029984,8,13,24.44,12,6,7,17,77,12,23,8,10.34,55,3,8,19,25,10.43,11,22.5,5,11,8,15,35,35,29.46,4,27.49,19,89
Bra029985,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1
Bra029986,1,2,1,0,1,2,3,2,1,0,3,1,2,1,1,0,1,6,3,4,2,0,2,2,0,5,15,3,2,0,16
Bra029987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
Bra029988,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Bra029989,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,1
Bra029990,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Bra029991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029992,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2
Bra029993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029994,0,0,2,0,0,0,1,1,0,1,0,2,1,0,0,0,0,1,2,0,0,0,1,0,1,1,2,0,0,0,1
Bra029995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029996,1,0,1,1,0,1,1,2,1,0,1,0,2,2,3,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,4
Bra029997,0,0,2,3,0,0,2,0,1,0,1,0,2.81,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,9
Bra029998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra029999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,4
Bra030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030002,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Bra030003,2,1,2,1,0,0,0,2,0,1,0,1,0,0,0,3,1,0,1,0,0,1,0,1,1,1,1,0,2,1,1
Bra030004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bra030006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030007,6,4,8,5,0,2,4.05,6,4,6.09,5.06,5,3,4,4,7,18,6,2,4,3,8,3,4.07,4,29,32,9,2,10.19,35
Bra030008,0,0,0,0,0,0,0.95,0,0,0.91,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0.81,0
Bra030009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bra030010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030011,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bra030012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2
Bra030013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030016,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,2,1,0,3,0,0,0,3,3,1,0,1,2
Bra030017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030018,1,0,3,0,2,1,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bra030020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Bra030022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030023,0,0,1,0,0,1,0,1,0,1,2,1,4,0,2,0,0,1,0,0,0,1,0,2,0,3,1,2,0,1,5
Bra030024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bra030025,0,0,2,0,1,0,1,7,4,1,4,3,1,1,0,2,4,2,0,0,0,0,2,1,0,3,1,0,1,3,13
Bra030026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030027,2,1,8,1,0,1,1,2,4,2,4,5,6,1,0,1,2,0,6,1,2,2,0,2,1,0,6,7,4,2,2
Bra030028,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,1,0,0,0,0,1,4,0,0,0,1,2
Bra030029,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bra030030,0,3,5,0,0,5,2,4,0,1,1,2,0,11,4,0,2,2,6,3,7,0,1,3,2,2,1,1,10,3,24
Bra030031,3,7,14,4,0,1,2,6,1,2,1,2,2,1,6,4,8,0,5,3,0,1,1,0,4,17,18,7,5,1,56
Bra030032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030033,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Bra030034,0,0,0,1,1,0,0,3,1,0,1,0,1,2,1,1,0,0,2,0,0,1,0,1,0,3,6,0,1,2,4
Bra030035,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2
Bra030036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030037,0,1,2,0,3,3,3,5,8,1,2,5,1,3,0,1,7,2,2,1,3,0,1,0,2,6,15,1,0,4,5
Bra030038,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,3,0,0,0,2,0,0,4,1,0,0,0,3,3,1
Bra030039,0,0,0,0,0,0,0,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
Bra030040,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Bra030041,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Bra030042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030043,1,0,0,0,0,2,0,1,2,0,0,1,3,1,1,0,0,0,1,0,0,0,1,1,0,7,4,0,0,1,1
Bra030044,0,0,2,3,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4,0,3
Bra030045,0,1,2,0,1,1,3,6,2,1,1,4,3,0,0,3,1,0,0,0,0,0,0,0,0,2,2,0,1,3,11
Bra030046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030047,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0
Bra030048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030050,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Bra030051,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Bra030052,1,1,3,2,0,1,0,2,0,1,0,0,4,1,0,0,0,2,1,2,0,3,0,4,0,1,1,0,1,0,5
Bra030053,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,2,0
Bra030054,0,0,1.99,0,2,3,0,2,1.02,0,0,0,5,1,0,2,1,1,0,0,1,0,1,1,0,1,3.18,2,0,2,4.84
Bra030055,1,0,2,1,0,2,3,0,0,0,1,0,0,0,1,0,2,0,1,2,0,0,0,5,1,2,5,0,3,2,4
Bra030056,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Bra030057,0,0,1,1,2,3,0,1,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,2,0,0,1,0,3
Bra030058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030059,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,1,2,0,1,0,0,1,0,0,0,1
Bra030060,0,0,0,0,0,1,2,4,1,0,0,1,0,1,0,1,1,1,0,0,0,2,0,2,2,3,2,0,1,1,1
Bra030061,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,0,0,2,0,0
Bra030062,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,2,0
Bra030066,0,2,1,0,0,0,2,6,1,1,2,2,0,0,2,0,1,1,0,1,2,2,2,5,3,2,0,1,0,3,4
Bra030067,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,0,2,0,2,1,2,0,0,0,5,1,0,3,4
Bra030068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030069,0,0,2,2,1,0,0,2,2,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,2,2,1,0,3,2,5
Bra030070,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bra030071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bra030072,1,0,1,0,1,0,0,3,2,1,1,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,3,1,1,0,0
Bra030073,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,0,2,4,0,0,0,3,1,0,0,1,0,5,2,0
Bra030074,0,0,1,1,0,0,0,0,0,0,1,2,2,0,0,0,2,0,1,2,1,0,0,0,2,8,6,0,4,4,1
Bra030075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,2,0,0
Bra030076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030079,1,0,1,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,1,0
Bra030080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030082,0,1,1,0,0,2,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,2,2,2,1,0,0,1
Bra030083,4,2,3,0,1,1,2,1,0,0,2,1,1,2,0,0,4,2,3,2,1,2,0,1,2,3,2,2,0,1,6
Bra030084,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bra030085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030088,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030089,0,1,3,0,0,2,1,0,1,0,1,2,3,0,1,0,2,2,3,0,1,1,0,0,0,0,0,1,0,0,3
Bra030090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030092,2,1,3,3,1,2,0,6,6,2,3,6,3,0,0,4,5,2,1,3,2,2,3,3,1,13,26,1,4,2,26
Bra030093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra030094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
