"","SRR4417242","SRR4417238","SRR4417240","SRR4417241","SRR4417237","SRR4417239","SRR4417243","SRR4417244"
"Bra032057",1,0,1,0,0,1,0,1
"Bra032058",4,8,25,3,2,10,1,2
"Bra032059",386.31,441.15,579.72,307.9,658.08,449.34,863.76,569.62
"Bra032060",0,0,0,0,0,0,0,0
"Bra032061",1078,853,1307,845,1323,981,2309,1377
"Bra032062",200.38,115.36,221,120,243,123,408,252.46
"Bra032063",0,0,0,0,0,0,0,0
"Bra032064",1,0,0.5,0,0,0,0.5,0
"Bra032065",0,0,0.5,0,0,0,0.5,0
"Bra032066",0,0,0,0,0,0,0,0
"Bra032067",7,3,2,1,2,2,6,5
"Bra032068",138,64,113,63,107,79,232,121
"Bra032069",113,146,196,117,242,228,288,204
"Bra032070",59,55,64,41,79,59,136,77
"Bra032071",0,0,0,0,0,0,0,0
"Bra032072",0,0,0,0,0,0,0,0
"Bra032073",0,0,0,0,0,0,1,2
"Bra032074",18.92,6.24,23.89,20.91,25.63,30.34,50.78,32.55
"Bra032075",10,4,10,6,17,9,17,16
"Bra032076",2,0,4,0,7,1,8,12
"Bra032077",2,0,0,1,3,0,11,1
"Bra032078",0,0,1,0,1,0,0,1
"Bra032079",8,13,19,11,8,7,29,16
"Bra032080",174.54,185.65,253.25,148.94,225.63,198.8,431.68,283.8
"Bra032081",6,7,3,1,11,5,23,6
"Bra032082",595,791,852,536,973,808,1445,1107
"Bra032083",165,231,232,180,263,262,586,398
"Bra032084",184,201,224,128,268,279,510,298
"Bra032085",289,160,234,171,201,280,744,312
"Bra032086",0,0,0,0,0,0,0,0
"Bra032087",0,0,0,0,0,0,1,0
"Bra032088",194,160,156,115,321,187,363,275
"Bra032089",116,146,221,133,220,151,492,320
"Bra032090",0,0,0,0,0,0,0,0
"Bra032091",6,5,5,5,3,2,9,3
"Bra032092",0,0,0,0,1,0,0,0
"Bra032093",3,0,2,0,0,2,0,0
"Bra032094",233,269,263,112,394,299,532,331
"Bra032095",0,1,1,0,0,0,1,1
"Bra032096",256.01,263.01,329.48,161,388.9,308.01,555.22,249
"Bra032097",0,0,1,1,0,0,0,0
"Bra032098",45.5,46,49,40,52,61,133,76
"Bra032099",299,290,424,241,391,373,665,418
"Bra032100",344,127,94,136,145,194,240,183
"Bra032101",284.28,530.09,394.29,259.21,747.83,444.75,781.11,561.89
"Bra032102",34,68,79,16,88,93,134,37
"Bra032103",43,26,83,10,69,34,1,36
"Bra032104",606,518,602,366,630,583,1173,662
"Bra032105",33,10,16,15,49,21,37,38
"Bra032106",11,14,15,8,10,5,44,14
"Bra032107",8,16,11,31,8,24,20,39
"Bra032108",0,0,0,0,0,0,0,0
"Bra032109",1436.79,1701.68,1632,1153.6,1634.29,1922.77,4785.37,2094.97
"Bra032110",3928.82,3899,4907,4546,5091,3473,9857,7459.72
"Bra032111",3,8,3,5,7,14,14,5
"Bra032112",0,0,0,0,0,0,0,0
"Bra032113",0,0,0,0,0,0,0,0
"Bra032114",0,0,0,2,0,0,1,4
"Bra032115",42,57,52,46,81,58,138,72
"Bra032116",1,0,0,0,0,0,1,0
"Bra032117",47,87,99,80,49,119,166,117
"Bra032118",3411.01,4926.57,4936.78,4064,4941.15,5319.49,11818.61,6640.82
"Bra032119",0,0,0,0,0,0,0,0
"Bra032120",184.97,182.19,198.74,161.22,329.42,201.63,666.9,381.94
"Bra032121",0,0,0,0,1,0,0,0
"Bra032122",335,352,558,370,489,501,703,631
"Bra032123",32,37,61,19,79,53,82,52
"Bra032124",636,620,694,435,781,809,1638,828
"Bra032125",0,0,0,0,0,0,0,0
"Bra032127",283.38,349.52,383.38,262,454,326.08,775.11,418.9
"Bra032128",0,0,0,0,0,0,0,0
"Bra032129",187,151,228,182,178,198,403,300
"Bra032130",11,18,6,5,7,5,12,13
"Bra032131",14,8,10,4,7,4,13,13
"Bra032132",478.01,509,643,314,524,576,1290,738
"Bra032133",190,279,328,211,379,340,586,336
"Bra032134",0,0,0,0,0,0,0,0
"Bra032135",17,177,110.34,17,168,183,49,37
"Bra032136",238,273,275,236,379,258,560,330
"Bra032137",411,499,656,340,694,459,1161,958
"Bra032138",7202,1864,2191,2627,3513,3426,3788,5789
"Bra032139",0,0,0,0,0,0,0,0
"Bra032140",3,1,1,0,0,4,5,2
"Bra032141",4,0,5,0,1,1,3,2
"Bra032142",0,0,0,0,0,0,0,0
"Bra032143",2,0,5,0,2,3,2,1
"Bra032144",3510,7026,5675,4063,3651,6092,10207,9305
"Bra032145",373,265,481,313,415,456,781,525
"Bra032146",49,12,31,41,8,13,236,54
"Bra032147",88,99,143,138,207.89,100,255,120
"Bra032148",845,506,969,449,711,586,1429,675
"Bra032149",372,416,469,294,484,445,959,626
"Bra032150",116,903,1154,488,1068,950,839,1418
"Bra032151",23,43,65,50,55,67,42,38
"Bra032152",573,528,743,535,662,564,1553,583
"Bra032153",211,67,33,46,139,130,115,139
"Bra032154",0,0,0,0,0,0,1,0
"Bra032155",5,2,6,10,4,6,10,3
"Bra032156",0,0,0,0,0,0,0,0
"Bra032157",0,0,0,0,0,0,0,0
"Bra032158",0,0,0,0,0,1,1,0
"Bra032159",0,0,0,0,0,0,0,0
"Bra032160",27,5,116,63,12,23,201,6
"Bra032161",0,0,0,0,0,0,0,3
"Bra032162",12,0,141,77,0,0,199,2
"Bra032163",82,82,91,46,171,108,217,131
"Bra032164",280,300,378,233,475,301,870,474
"Bra032165",13,34,24,32,64,20,28,55
"Bra032166",1426,1524,1813,1597,1396,1892,5024,2391
"Bra032167",195,170,244,133,169,192,561,302
"Bra032168",0,0,0,0,0,0,0,0
"Bra032169",312,298,357,204,440,399,766,437
"Bra032170",125,102,166,153,156,74,308,173
"Bra032171",18,19,20,4,3,23,39,12
"Bra032172",1211,1110,1378,855,1953,1279,3120,1404
"Bra032173",66,103,186,82,82,130,227,114
"Bra032174",397,268,464,188,273,245,838,471
"Bra032175",118,163,163,117,193,180,255,279
"Bra032176",3,6,8,12,7,2,8,16
"Bra032177",1,0,8,0,2,2,0,5
"Bra032178",0,0,0,0,0,0,0,0
"Bra032179",0,0,0,0,0,0,1,1
"Bra032180",0,0,0,0,0,0,0,0
"Bra032181",0,0,0,0,0,0,0,0
"Bra032182",1575.03,775,849.02,655.04,1134,1104,2092,1153.02
"Bra032183",28,82,11,77,79,86,64,176
"Bra032184",0,0,0,0,0,0,0,0
"Bra032185",5,0,0,0,0,0,7,2
"Bra032186",0,0,0,0,0,1,0,0
"Bra032187",1,2,0,0,1,1,1,5
"Bra032188",479,278,596,376,285,189,1978,508
"Bra032189",6,37,78,45,23,19,159,37
"Bra032190",511.64,446.93,518.87,349.17,662.69,656.84,819.28,545.04
"Bra032191",485,480,597,422,656,493,1236,755
"Bra032192",553,602.33,778.56,529,865.51,705.32,1572,927
"Bra032193",294.16,293.97,321.69,225.49,428.91,265.32,721.55,431.13
"Bra032194",0,0,0,0,0,0,0,0
"Bra032195",0,0,0,0,0,0,0,0
"Bra032196",293,309,442,234,440,373,777,468
"Bra032197",0,0,0,0,1,0,0,0
"Bra032198",0,0,0,0,0,0,0,0
"Bra032199",387,444,764,354,467,397,1020,777
"Bra032200",0,0,0,0,0,0,0,0
"Bra032201",0,0,0,0,0,0,0,0
"Bra032202",66,67.21,65.79,43,150.54,63.54,108,131.68
"Bra032203",3260,893,893,677,1361,1874,2114,1441
"Bra032204",2502,954,722,788,1320,1978,1817,1345
"Bra032205",225,235,270,194.47,133,204,538,420
"Bra032206",0,0,0,0,0,0,0,0
"Bra032207",1,2,1,0,1,0,3,1
"Bra032208",0,0,0,0,1,0,0,0
"Bra032209",0,0,0,0,0,0,0,0
"Bra032210",257,251,307,189,309,304,598,372
"Bra032211",0,0,0,0,0,0,0,0
"Bra032212",19,18,38,19,16,12,51,29
"Bra032213",77,63,104,78,100,81,168,122
"Bra032214",1014.92,479.89,357.84,219.01,738.42,993.05,686.43,466.13
"Bra032215",793,961,1237,747,788,992,2105,1231
"Bra032216",659.8,964.89,1025.49,574.57,1335.42,1110.13,1697.71,1308.43
"Bra032217",0,0,0,0,0,0,0,0
"Bra032218",0,0,0,0,0,0,0,0
"Bra032219",0,0,0,0,0,0,0,0
"Bra032220",57,81,54,26,103,83,167,60
"Bra032221",0,0,0,0,0,0,0,0
"Bra032222",0,0,0,1,0,0,0,1
"Bra032223",0,0,0,0,0,0,0,0
"Bra032224",0,0,0,0,0,0,0,0
"Bra032225",0,0,0,0,0,0,0,0
"Bra032226",0,0,0,0,0,0,0,0
"Bra032227",0,0,0,0,0,0,0,0
"Bra032228",199,265,164,199,166,335,325,276
"Bra032229",26,0,0,0,2,0,50,24
"Bra032230",0,0,0,0,0,0,0,0
"Bra032231",68,39,51,53,61,34.1,273,127
"Bra032232",5,17,30,1,10,33,22,6
"Bra032233",34,20,19,40,26,20,41,28
"Bra032234",6.2,2.98,2.56,3.37,1.57,4.05,10.71,1.9
"Bra032235",0,0,0,0,0,0,0,0
"Bra032236",0,0,0,0,0,0,0,0
"Bra032237",0,0,0,0,0,0,0,0
"Bra032238",0,0,1,0,0,1,2,2
"Bra032239",1356,265,160,392,638,415,689,546
"Bra032240",0,0,0,0,0,0,0,0
"Bra032241",0,0,9.49,0,0,0,0,0
"Bra032242",39,36,29,17,28,42,69,57
"Bra032243",0,0,0,0,0,0,0,0
"Bra032244",1,2,0,0,3,3,2,1
"Bra032245",0,0,0,0,0,0,1,0
"Bra032246",106,75,111,86,82,65,233,205
"Bra032247",163,212,247,131,292,259,398,264
"Bra032248",305.87,82.13,170.09,119.49,105,71,571.66,289
"Bra032249",104.15,82.95,125.37,58.45,72.93,65.88,197.1,111.97
"Bra032250",0,0,0,0,0,0,0,0
"Bra032251",0,0,0,0,0,0,0,0
"Bra032252",18,33,25,5,3,12,39,31.48
"Bra032253",0,0,0,0,0,0,0,1
"Bra032254",3077.73,3295.67,3556.41,2353.52,4085.35,3625.5,6815.73,4466.42
"Bra032255",1049,1205,1277,1107,1384,1353,2825,1657
"Bra032256",1,0,0,0,0,0,0,0
"Bra032257",0,0,0,0,0,0,1,1
"Bra032258",359,418,508,310,770,411,995,631
"Bra032259",0,0,1,0,0,0,0,0
"Bra032260",0,0,0,0,0,0,0,0
"Bra032261",4,0,7,9,6,0,9.16,6
"Bra032262",0,0,0,0,0,0,0,0
"Bra032263",0,0,0,0,0,0,0,0
"Bra032264",0,0,0,0,0,0,0,0
"Bra032265",70,50,120,39,59,69,176,132
"Bra032266",257,261,246,287,255,327,683,468
"Bra032267",90,76,178,66,117,88,211,122
"Bra032268",655,931,1332,511.3,1627,1292,1950,887
"Bra032269",405,685,638,327,908,576,1288,799
"Bra032270",1,0,0,0,1,0,0,2
"Bra032271",0,0,0,0,0,0,0,0
"Bra032272",79,186,273,155,225,215,232,210
"Bra032273",97,87,101,79,52,90,165,105
"Bra032274",52,37,63,58,90,51,116,66
"Bra032275",7,2,5,1,1,6,10,4
"Bra032276",0,0,0,0,0,0,0,0
"Bra032277",0,11.15,28.12,0,52.71,14.05,0,0
"Bra032278",0,0,0,0,0,0,0,0
"Bra032279",0,0,0,0,1,0,0,0
"Bra032280",0,1,0,0,1,0,0,0
"Bra032281",1751.38,1351.63,1217.18,999.45,1600.31,1769.73,3211.1,1837.45
"Bra032282",1,0,2,1,4,0,0,0
"Bra032283",82,79.85,41.88,81,30.29,64.95,172,180
"Bra032284",445,440,740,319,656,487,993,550
"Bra032285",0,0,0,0,0,0,0,0
"Bra032286",320,273,424,283,399,313,729,482
"Bra032287",0,0,0,0,0,0,0,0
"Bra032288",36,6,14,6,7,2,134,26
"Bra032289",0,0,0,0,0,0,0,0
"Bra032290",2967.73,824,933.11,1167,1782,1773.73,2154,2030
"Bra032291",406,536.12,610,398.11,698,572,1193,722
"Bra032292",28,26,41,21,30,26,74,41
"Bra032293",13,27,54,17,89,21,41,54
"Bra032294",0,0,0,0,0,0,0,0
"Bra032295",128.19,83.39,189.74,209.16,109.4,223.79,381.01,249.64
"Bra032296",35.17,75,75.15,45,115.32,56.13,106,63.01
"Bra032297",392,472,624,301,681,453,904,592
"Bra032298",28,15,10,22,20,21,29,19
"Bra032299",0,2,0,0,0,0,0,0
"Bra032300",3,3,25,2,2,2,21,6
"Bra032301",10,2,17,3,4,6,29,14
"Bra032302",2,13,15,5,39,12,18.03,18
"Bra032303",559,595,562,761,681,747,1748,1001
"Bra032304",0,0,0,0,0,0,0,0
"Bra032305",4.9,6.38,0,0,6.75,0,6.68,6.37
"Bra032306",0,0,0,0,0,0,0,0
"Bra032307",0,0,0,0,0,0,0,0
"Bra032308",0,0,0,0,0,0,0,0
"Bra032309",98,126,179,89,167,175,343,195
"Bra032310",490,576,621.47,444.37,718.66,567,1201.4,728.11
"Bra032311",6,2,1,3,9,1,8,7
"Bra032312",0,0,1,0,1,1,2,1
"Bra032313",477.32,264.76,414.49,402.24,443.54,371.13,1671.94,194.37
"Bra032314",34.72,53,45,27,69,31,85,53
"Bra032315",525,499,624,453,598,541,1179,646
"Bra032316",2962,2560,2983,2520,2907,2960,6725,4026
"Bra032317",18,16,19,8,21,41,34,8
"Bra032318",0,0,0,0,0,1,0,2
"Bra032319",1146.28,1309.99,1624.85,1163.41,1759.47,1668.96,3632.3,2009.05
"Bra032320",548,362,468,363,478,523,996,638
"Bra032321",0,4,0,0,3,2,2,0
"Bra032322",24,50,29,14,119,55,49,47
"Bra032323",6,9,8,8,13,10,25,11
"Bra032324",20,22,17,18,51,25,46,17
"Bra032325",15,13,33,33,24,17,45,58
"Bra032326",0,0,0,0,0,0,0,0
"Bra032327",0,0,0,0,0,0,0,0
"Bra032328",0,0,0,0,0,0,0,0
"Bra032329",14,7,30,28,24,34,63,37
"Bra032330",0,0,0,0,0,0,1,0
"Bra032331",12.69,0,38.76,10,5,1,30,19.02
"Bra032332",205,301,351,242,284,281,670,512.98
"Bra032333",9.09,12.04,8.02,3.02,7.02,8.02,9.02,4.01
"Bra032334",43,40,52,26,62,49,106,61
"Bra032335",12,8,13,8,6,8,25,20
"Bra032336",39,51,52,28,64,39,109,54
"Bra032337",548,504,528,411,477,479,1032,765
"Bra032338",94,139,198,74,200,162,246,185
"Bra032339",0,0,0,0,0,0,0,0
"Bra032340",0,1,0,0,0,0,1,0
"Bra032341",454.71,464,585.41,312.38,649,541,1306.92,772.37
"Bra032342",37,4,1,11,4,44,119,4
"Bra032343",134.39,72.72,49.89,253.65,137.43,83.9,284.99,60.98
"Bra032344",831,1264,1281,867,1666,1214,2623,1487
"Bra032345",1941.39,1507.81,1695.28,336.39,731.18,1354.91,2803.67,969.27
"Bra032346",1,0,0,1,0,0,0,0
"Bra032347",0,0,0,0,0,1,0,0
"Bra032348",575,329,510,381,437,477,824,680
"Bra032349",365,534,633,437,768,620,1292,694
"Bra032350",135,152,206,127,214,174,324,198
"Bra032351",165,230,371,201,293,238,507,402
"Bra032352",57,66,93,57,117,73,175,106
"Bra032353",0,0,0,0,0,2,0,0
"Bra032354",906,577,1149,973,343,415,1638,2150
"Bra032355",126,65,53,56,44,56,72,79
"Bra032356",115,80,210,158,124,173,251,216
"Bra032357",36,48,3,15,25,76,92,76
"Bra032358",315,372,512,369,486,424,834,628
"Bra032359",14,57,24,11,99,85,26,10
"Bra032360",71,93,160,82,140,83,189,134
"Bra032361",186.21,216.8,206.32,170.5,310.08,233.38,461.03,201
"Bra032362",2,2,3,1,4,1,14,5
"Bra032363",0,0,0,0,0,1,0,0
"Bra032364",447,464,607,450,534,529,1207,762
"Bra032365",69,110,155,87,155,96,175,106
"Bra032366",1401,1518,2332,1242,2078,1550,3229,2497
"Bra032367",0,1,0,0,0,0,0,0
"Bra032368",61,108,106,61,150,105,197,117
"Bra032369",25,8,17.01,6,13,17,6,22
"Bra032370",3,4,9,6,0,4,5,6
"Bra032371",32,37,41,44,14,56,80,36
"Bra032372",0,0,0,0,0,0,0,0
"Bra032373",4,3,7,4,3,1,7,1
"Bra032374",539.91,336,228.75,193,425,484,504,339
"Bra032375",29,33,34,26,16,41,141,26
"Bra032376",1.37,0,2.27,0,3.59,0,3.76,4.38
"Bra032377",166,177,2,0,220,2,382,214
"Bra032378",131.63,146,166.73,119,209.41,140,337.24,254.62
"Bra032379",64,21,18,18,25,15,22,30
"Bra032380",124,63,173,73,87,66,289,184
"Bra032381",1,0,0,0,1,0,0,0
"Bra032382",531,354,145,95,471,1194,1382,456
"Bra032383",7,8,7,1,2,4,5,9
"Bra032384",1448,1262,1504,820,1122,1286,3009,1516
"Bra032385",376.41,499.09,671.35,447.97,619.94,456.85,937.56,768.54
"Bra032386",2,8,40.09,5.01,16.73,8,8.02,17
"Bra032387",0,0,0,0,0,0,0,0
"Bra032388",0,0,0,0,0,1,0,0
"Bra032389",35,6,10,2,6,18,12,25
"Bra032390",672.84,156.51,209.97,414.88,354.62,280.95,302.53,437.76
"Bra032391",185,367,277,213,591,267,615.89,534
"Bra032392",410,354,395,336,485,429,925,463
"Bra032393",131,149,200,127,192,137,307,215
"Bra032394",505,631,571,375,963,552,1443,1129
"Bra032395",65,59,84,27,48,38,103,67
"Bra032396",338,503,754,282,527,408,837,490
"Bra032397",5,7,16,3,17,6,10,11
"Bra032398",134.47,153,267.27,86.11,160.21,109.72,378.6,190.58
"Bra032399",58,30,0,15,51,37,76,41
"Bra032400",460,276,251,256,326,406,792,466
"Bra032401",32,28,14,18,50,26,57,53
"Bra032402",10,5,3,2,6,10,6,1
"Bra032403",3,0,0,1,0,1,3,0
"Bra032404",208,256,262,342,365,338,707,250
"Bra032405",149.17,198.16,195.63,79.31,271.5,164.43,311.65,117.64
"Bra032406",0,0,0,0,0,0,2,0
"Bra032407",115,162,137,105,273,134,285,225
"Bra032408",163,208,235,152,278,212,440,231
"Bra032409",523,487,709,411,792,771,1196,1048
"Bra032410",734,761,996,526,1275,1003,1870,1063
"Bra032411",507,511,669,367,569,615,1354,755
"Bra032412",44.38,49.92,45.42,43.99,44.93,47.9,87.16,72.8
"Bra032413",60,81,0,210,36,87,84,73
"Bra032414",41.59,49.28,52,33.45,69.15,56.29,110.04,72.6
"Bra032415",1546.82,1044.16,1708.46,1385.16,1110.41,1304.7,3344.06,3281.31
"Bra032416",538.87,818.76,705.4,477.49,989.14,915.52,1460.56,493.77
"Bra032417",0,1,1,2,0,3,1,0
"Bra032418",0,4,0,2,3,6,3,0
"Bra032419",10,25,18,8,28,37,26,0
"Bra032420",0,0,0,0,6,1,0,0
"Bra032421",3,2,2,2,1,4,5,5
"Bra032422",0,0,0,1,0,0,0,2
"Bra032423",9,9,9,26,12,11,26,5
"Bra032424",444,563,715,554,668,638,1316,714
"Bra032425",1.47,0,0,0,1,1,2,0
"Bra032426",31,44,63,36,65,38,89,66
"Bra032427",0,0,0,0,0,0,0,0
"Bra032428",0,0,0,0,0,2,0,0
"Bra032429",1,3,4,0,0,3,5,4
"Bra032430",517,552,536,501,641,646,1475,803
"Bra032431",368.98,341.12,450.14,253.36,493.82,393.17,871.64,570.79
"Bra032432",314,413,501,296,408,375,924,566
"Bra032433",1,1,2,1,0,0,0,0
"Bra032434",22,37,43,17,39,30,56,32
"Bra032435",0,0,0,0,0,0,0,0
"Bra032436",13,23,38,31,30,19,32,22
"Bra032437",2,15,18,1,13,11,6,2
"Bra032438",1,0,0,0,0,0,1,2
"Bra032439",3,1,4,16,30,14,17,23
"Bra032440",0,0,0,0,0,0,0,0
"Bra032441",305,292,313,215,402,317,734,332
"Bra032442",0,0,1,0,2,0,1,1
"Bra032443",14,10,29,11,21,16,38,32
"Bra032444",0,3,13,2,1,3,0,0
"Bra032445",2122,1215,1347,887,1494,1753.28,3686,1864
"Bra032446",1,0,0,0,0,0,0,0
"Bra032447",0,0,0,0,0,0,0,0
"Bra032448",184,125,164,104,273,173,328,328
"Bra032449",299.1,372.53,373.26,264.65,540.69,453.24,772.33,461.12
"Bra032450",178,188,223,128,289,256,434,274
"Bra032451",16,26,14,26,69,12,62,28
"Bra032452",434,396,591,351,547,442,1103,787
"Bra032453",2,1,0,1,0,4,2,3
"Bra032454",20,30,36,19,62,24,63,29
"Bra032455",89,93,128,77,145,101,178,138.17
"Bra032456",260,144.77,75.47,60.01,156.16,307.7,170.57,100.01
"Bra032457",0,0,0,0,0,0,0,0
"Bra032458",4,0,12,4,1,1,6,32
"Bra032459",0,0,0,0,0,0,0,0
"Bra032460",288,258,445,280,371,356,784,460
"Bra032461",0,0,0,1,0,0,0,0
"Bra032462",365,440,712,609,465,490,805,802
"Bra032463",0,0,2,0,1,0,2,1
"Bra032464",4,8,9,2,6,4,9,10
"Bra032465",17,7,6,10,16,8,34,25
"Bra032466",194,178,208,94,217,199,400,234
"Bra032467",156,147,257,120,249,184,375,282
"Bra032468",11,3,2,8,2,1,24,24
"Bra032469",57,31,22,52,74,34,226,106
"Bra032470",179,172,249,143,320,183,363,282
"Bra032471",3,1,2,2,2,3,1,3
"Bra032472",1,1,3,0,0,0,2,2
"Bra032473",121,103,123,69,117,130,259,155
"Bra032474",25,7,13,12,10,6,32,19
"Bra032475",0,0,1,0,0,0,0,0
"Bra032476",0,0,0,0,0,0,0,0
"Bra032477",0,0,0,0,0,0,0,0
"Bra032478",349.75,240.97,228.54,204.86,338.77,263.48,509.73,332.76
"Bra032479",60.65,74,95,26,111,92,109,89
"Bra032480",78,95,114,99,114,105,252,106
"Bra032481",137.39,225.51,277.69,230.72,377.28,258.52,318.87,144.59
"Bra032482",57,50.93,37.67,40,82.65,56.6,105,68.09
"Bra032483",11,1,1,11,1,0,28,60
"Bra032484",4,1,1,1,2,3,2,3
"Bra032485",51,54,90,26,101,66,64,20
"Bra032486",1,0,4,1,0,0,1,0
"Bra032487",38,27,46,20,41,45,75,40
"Bra032488",0,0,0,0,0,0,1,0
"Bra032489",0,0,0,0,0,0,0,0
"Bra032490",1,6,9,4,0,11,4,5
"Bra032491",245,43,62,67,70,96,172,282
"Bra032492",62.13,82,53,49,83.15,71,184.12,90
"Bra032493",200.93,193.41,301.4,207.18,280.46,249.81,519.18,452.9
"Bra032494",39,105.15,74.08,59,167,108,87.12,97.07
"Bra032495",9,2,5,2,3,1,3,0
"Bra032496",0,0,0,0,0,0,0,0
"Bra032497",0,0,0,0,0,0,0,0
"Bra032498",67.3,75.31,56.41,53.99,93,84,140,78
"Bra032499",1,5,3,3,8,6,4,2
"Bra032500",0,0,0,0,0,0,0,0
"Bra032501",243,193,233,166,304,221,565,421
"Bra032502",0,0,0,0,1,0,0,1
"Bra032503",4,19,26,11,30,24,11,13
"Bra032504",19091,7386,6337,6804,9293,14829,16045,10628
"Bra032505",0,0,0,0,0,0,0,0
"Bra032506",194,225,267,160,358,261,496.18,318
"Bra032507",19430,5552.98,4617.82,4693,7204.41,12151.6,14062,11327
"Bra032508",146,57,28,43,118,96,57,75
"Bra032509",0,0,0,0,0,0,0,0
"Bra032510",0,0,0,0,0,0,1,0
"Bra032511",458,527,794.42,507,519,574,1608,869
"Bra032512",2,0,0,0,0,0,0,0
"Bra032513",14,16,15,13,32,16,42,20
"Bra032514",6,3,7,1,7,9,6,5
"Bra032515",0,0,3,0,2,0,0,0
"Bra032516",0,0,0,0,0,0,0,0
"Bra032517",1,0,1,2,0,0,0,1
"Bra032518",1923,1191,1511,880,1628,1794,2985,1870
"Bra032519",677.82,858.91,1213.13,567.74,1507.09,1138.19,1475.61,1296.11
"Bra032520",26.32,33.56,44.46,42.02,68.72,53.9,60.82,61.54
"Bra032521",14,29,34.82,27.94,71,63,24,24
"Bra032522",35,133,252,107.4,151,128.35,111,225
"Bra032523",0,0,2,0,0,0,1,3
"Bra032524",0,2,1,4,6,2,1,5
"Bra032525",510.84,637.55,778.21,448.63,972.78,652.11,1302.58,833.89
"Bra032526",747,346,359,311,374,500,662,584
"Bra032527",4,3,5,0,5,2,10,9
"Bra032528",1335,1035,1265,890.24,1292,1271,2519,1501
"Bra032529",57,63,112,116,101,73,107,123
"Bra032530",24,42,59,32,31,37,79,67
"Bra032531",28,40,52,22,79,29,29,66
"Bra032532",165,221,249,150,367,198,475,355
"Bra032533",36,58.23,52.18,47,87,54.33,89.15,79.21
"Bra032534",101,66,142,100,121,129,300,143
"Bra032535",35,35,64,11,57,24,80,87
"Bra032536",226,291,267,96,475,544,638,224
"Bra032537",737.46,697.5,886.79,546.73,1220.59,927.76,1997.66,1145.91
"Bra032538",30,17,8,7,17,18,25,24
"Bra032539",83,125,162.14,84,178.2,146,140.96,54.06
"Bra032540",0,0,8,3,3,1,0,2
"Bra032541",2,2,3,1,7,3,5,6
"Bra032542",82.53,98,94.99,87,215,137.58,243.62,206
"Bra032543",0,0,2,0,0,1,0,0
"Bra032544",146,115,183,121,191,148,383,264
"Bra032545",14,18,25,15,20,8,54,30
"Bra032546",112,112,125,125,159,120,239,153
"Bra032547",390,636,780,637,766,677,1031,665
"Bra032548",6,11,5,4,10,4,7,2
"Bra032549",82,29,33,35,44,33,51,94
"Bra032550",151,204,253,168,293,264,500,274
"Bra032551",2,12,11,21,28,9,6,4
"Bra032552",67,75,60,36,139,82,216.1,85
"Bra032553",64,57,89,52,87,60,132,97
"Bra032554",9,6.5,7,0,12,15,44,16
"Bra032555",56,110,216,35,264,125,136,91
"Bra032556",468.81,266.73,315.6,392.17,354.16,274.06,1101.49,717.05
"Bra032557",2091,1226,1734,1208,1574,1725,5166,3087
"Bra032558",2032,2533,3593,1334,2791,2738,4470,4087
"Bra032559",7,12,14,7,9,4,23,18
"Bra032560",45,17,6,11,19,16,53,18
"Bra032561",12715.07,3956.54,3568.09,3430.92,5144.35,8830.04,8409.15,6735.47
"Bra032562",0,2,0,1,0,0,3,1
"Bra032563",9,24,13,4,16,26,41,5
"Bra032564",64,73.59,74.42,48,55.7,52,189.08,89.28
"Bra032565",591.07,617.83,769.51,497.85,841.03,695.95,1501.43,796.09
"Bra032566",0,0,0,0,0,0,0,0
"Bra032567",0,0,0,0,0,0,0,0
"Bra032568",139.87,108.18,110.45,80.6,134.46,108.56,419.41,191.9
"Bra032569",0,0,0,0,0,0,0,0
"Bra032570",0,0,0,0,0,0,0,0
"Bra032571",0,0,0,0,0,0,0,0
"Bra032572",1.94,0,3.99,0,0,0,1.78,0
"Bra032573",2.81,0,0,0,0,4.86,3.79,0
"Bra032574",0,0,0,0,0,0,0,0
"Bra032575",195.39,148.39,164.62,66.78,146.11,159.51,320.9,205.14
"Bra032576",42,9,2,1,40,23,46,19
"Bra032577",256.32,130.38,92.56,72.71,161.8,170.67,224.81,111.09
"Bra032578",4,3,23,3,4,7,13,28
"Bra032579",112.29,130.35,201.62,81,276.79,174.45,214.71,224.33
"Bra032580",2,0,0,0,2,0,3,1
"Bra032581",772.95,671,672.81,267,384,405,1244,951.93
"Bra032582",15,15,14,2,9,5,13,16
"Bra032583",36,29,39,20,41,32,68.03,75
"Bra032584",1025,688,782,684,858,1024,2567,2039
"Bra032585",9,7,5,4,5,7,6,8
"Bra032586",1121.21,1755.6,2165.35,869.01,2584.83,1926.49,2729.59,1965.38
"Bra032587",109,153,211,77,209,172,253,188
"Bra032588",795,326,320,154,374,386,589,430
"Bra032589",0,0,0,0,0,1,0,0
"Bra032590",7,6,8,5,3,11,21,6
"Bra032591",1042,815,703,532,526,715,1916,1023
"Bra032592",3,6,10,2,12,19,12,8
"Bra032593",133.61,0,0,0,0,0,0,0
"Bra032595",186,183,264,176,215,222,463,278
"Bra032596",0,0,1,0,0,0,3,2
"Bra032597",0,0,0,0,0,0,1,0
"Bra032598",0,0,0,0,0,0,0,0
"Bra032599",198,325,380,168,186,247,455,379
"Bra032600",4,6,3,13,11,8,7,19
"Bra032601",50,60,91,12,54,40,47,35
"Bra032602",8,10,15,1,3,6,9,3
